iter	Passed	Remaining
0	157	157740
1	159	79611
2	160	53495
3	162	40448
4	163	32616
5	165	27428
6	167	23700
7	168	20883
8	169	18689
9	170	16921
10	171	15459
11	172	14240
12	173	13209
13	174	12321
14	175	11539
15	176	10862
16	177	10273
17	178	9744
18	179	9256
19	179	8812
20	180	8410
21	180	8043
22	181	7709
23	182	7402
24	182	7121
25	183	6861
26	183	6618
27	184	6391
28	184	6180
29	185	5983
30	185	5798
31	185	5625
32	186	5463
33	186	5310
34	187	5166
35	187	5029
36	188	4900
37	188	4778
38	189	4662
39	189	4552
40	190	4448
41	190	4348
42	191	4252
43	191	4161
44	191	4074
45	192	3991
46	192	3911
47	193	3835
48	193	3762
49	194	3692
50	194	3624
51	195	3560
52	195	3497
53	196	3437
54	196	3379
55	197	3322
56	197	3268
57	198	3216
58	198	3166
59	199	3119
60	199	3072
61	200	3026
62	200	2982
63	200	2939
64	201	2897
65	201	2857
66	202	2818
67	202	2778
68	203	2741
69	203	2705
70	204	2670
71	204	2636
72	204	2603
73	205	2570
74	205	2539
75	206	2508
76	206	2479
77	207	2450
78	207	2421
79	208	2394
80	208	2367
81	209	2341
82	209	2315
83	210	2290
84	210	2264
85	210	2240
86	211	2215
87	211	2192
88	211	2169
89	212	2148
90	212	2126
91	213	2105
92	213	2085
93	214	2065
94	214	2045
95	215	2026
96	215	2007
97	216	1988
98	216	1970
99	217	1953
100	217	1935
101	217	1916
102	218	1900
103	218	1883
104	219	1867
105	219	1851
106	220	1836
107	220	1820
108	220	1806
109	221	1791
110	221	1776
111	222	1762
112	222	1748
113	223	1734
114	223	1721
115	223	1707
116	224	1694
117	224	1681
118	225	1667
119	225	1655
120	226	1643
121	226	1631
122	226	1618
123	227	1606
124	227	1594
125	228	1583
126	228	1572
127	229	1560
128	229	1549
129	229	1538
130	230	1528
131	230	1517
132	231	1508
133	231	1498
134	232	1489
135	232	1479
136	233	1469
137	233	1459
138	234	1450
139	234	1441
140	235	1431
141	235	1423
142	235	1414
143	236	1405
144	236	1396
145	237	1388
146	237	1379
147	238	1371
148	238	1363
149	239	1355
150	239	1347
151	240	1339
152	240	1332
153	241	1324
154	241	1316
155	241	1309
156	242	1301
157	242	1294
158	243	1286
159	243	1279
160	244	1272
161	244	1265
162	245	1258
163	245	1251
164	246	1246
165	246	1240
166	247	1233
167	247	1227
168	248	1220
169	248	1214
170	249	1208
171	249	1202
172	250	1196
173	250	1190
174	251	1184
175	251	1178
176	252	1172
177	252	1166
178	253	1161
179	253	1155
180	253	1148
181	254	1142
182	254	1137
183	255	1131
184	255	1126
185	256	1120
186	256	1115
187	257	1110
188	257	1104
189	257	1099
190	258	1094
191	258	1089
192	259	1084
193	259	1079
194	260	1074
195	260	1069
196	261	1064
197	261	1059
198	261	1054
199	262	1049
200	262	1045
201	263	1040
202	263	1035
203	264	1031
204	264	1026
205	265	1022
206	265	1017
207	266	1013
208	266	1008
209	266	1004
210	267	1000
211	267	995
212	268	991
213	268	987
214	269	983
215	269	978
216	270	974
217	270	970
218	271	966
219	271	962
220	271	958
221	272	954
222	272	950
223	273	946
224	273	942
225	274	939
226	274	935
227	275	932
228	275	928
229	276	924
230	276	920
231	277	917
232	277	913
233	278	910
234	278	906
235	278	902
236	279	899
237	279	895
238	280	892
239	280	888
240	281	885
241	281	881
242	282	878
243	282	875
244	282	871
245	283	868
246	283	865
247	284	862
248	284	858
249	285	855
250	285	852
251	286	849
252	286	845
253	286	842
254	287	839
255	287	836
256	288	833
257	288	830
258	289	828
259	289	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
266	293	804
267	293	802
268	294	799
269	294	796
270	294	793
271	295	790
272	295	787
273	296	785
274	296	782
275	297	779
276	297	776
277	298	774
278	298	771
279	299	769
280	299	767
281	300	764
282	300	761
283	301	759
284	301	756
285	302	754
286	302	751
287	302	748
288	303	746
289	303	743
290	304	741
291	304	739
292	305	736
293	305	734
294	306	731
295	306	729
296	307	726
297	307	724
298	307	722
299	308	719
300	308	717
301	309	714
302	309	712
303	310	710
304	310	707
305	311	705
306	311	703
307	312	701
308	312	698
309	312	696
310	313	694
311	313	692
312	314	689
313	314	687
314	315	685
315	315	683
316	316	681
317	316	678
318	316	676
319	317	674
320	317	672
321	318	670
322	318	668
323	319	666
324	319	664
325	320	662
326	320	659
327	321	657
328	321	655
329	322	653
330	322	651
331	322	649
332	323	647
